Date,CrudeOil,SP500
2016-11-03,44.66,2088.659912
2016-11-04,44.07,2085.179932
2016-11-07,44.889999,2131.52002
2016-11-08,44.98,2139.560059
2016-11-09,45.27,2163.26001
2016-11-10,44.66,2167.47998
2016-11-14,43.32,2164.199951
2016-11-15,45.810001,2180.389893
2016-11-16,45.57,2176.939941
2016-11-17,45.419998,2187.120117
2016-11-18,45.689999,2181.899902
2016-11-21,47.490002,2198.179932
2016-11-22,48.029999,2202.939941
2016-11-23,47.959999,2204.719971
2016-11-25,46.060001,2213.350098
2016-11-28,47.080002,2201.719971
2016-11-29,45.23,2204.659912
2016-11-30,49.439999,2198.810059
2016-12-01,51.060001,2191.080078
2016-12-02,51.68,2191.949951
2016-12-05,51.790001,2204.709961
2016-12-06,50.93,2212.22998
2016-12-07,49.77,2241.350098
2016-12-08,50.84,2246.189941
2016-12-09,51.5,2259.530029
2016-12-12,52.830002,2256.959961
2016-12-13,52.98,2271.719971
2016-12-14,51.040001,2253.280029
2016-12-15,50.900002,2262.030029
2016-12-16,51.900002,2258.070068
2016-12-19,52.119999,2262.530029
2016-12-20,52.23,2270.76001
2016-12-21,52.490002,2265.179932
2016-12-22,52.950001,2260.959961
2016-12-23,53.02,2263.790039
2016-12-27,53.900002,2268.879883
2016-12-28,54.060001,2249.919922
2016-12-29,53.77,2249.26001
2016-12-30,53.720001,2238.830078
2017-01-03,52.330002,2257.830078
2017-01-04,53.259998,2270.75
2017-01-05,53.759998,2269
2017-01-06,53.990002,2276.97998
2017-01-09,51.959999,2268.899902
2017-01-10,50.82,2268.899902
2017-01-11,52.25,2275.320068
2017-01-12,53.009998,2270.439941
2017-01-13,52.369999,2274.639893
2017-01-17,52.48,2267.889893
2017-01-18,51.080002,2271.889893
2017-01-19,51.369999,2263.689941
2017-01-20,52.419998,2271.310059
2017-01-23,52.75,2265.199951
2017-01-24,53.18,2280.070068
2017-01-25,52.75,2298.370117
2017-01-26,53.779999,2296.679932
2017-01-27,53.169998,2294.689941
2017-01-30,52.630001,2280.899902
2017-01-31,52.810001,2278.870117
2017-02-01,53.880001,2279.550049
2017-02-02,53.540001,2280.850098
2017-02-03,53.830002,2297.419922
2017-02-06,53.009998,2292.560059
2017-02-07,52.169998,2293.080078
2017-02-08,52.34,2294.669922
2017-02-09,53,2307.870117
2017-02-10,53.860001,2316.100098
2017-02-13,52.93,2328.25
2017-02-14,53.200001,2337.580078
2017-02-15,53.110001,2349.25
2017-02-16,53.360001,2347.219971
2017-02-17,53.400002,2351.159912
2017-02-21,54.060001,2365.379883
2017-02-22,53.59,2362.820068
2017-02-23,54.450001,2363.810059
2017-02-24,53.990002,2367.340088
2017-02-27,54.049999,2369.75
2017-02-28,54.009998,2363.639893
2017-03-01,53.830002,2395.959961
2017-03-02,52.610001,2381.919922
2017-03-03,53.330002,2383.120117
2017-03-06,53.200001,2375.310059
2017-03-07,53.139999,2368.389893
2017-03-08,50.279999,2362.97998
2017-03-09,49.279999,2364.870117
2017-03-10,48.490002,2372.600098
2017-03-13,48.400002,2373.469971
2017-03-14,47.720001,2365.449951
2017-03-15,48.860001,2385.26001
2017-03-16,48.75,2381.379883
2017-03-17,48.779999,2378.25
2017-03-20,48.220001,2373.469971
2017-03-21,47.34,2344.02002
2017-03-22,48.040001,2348.449951
2017-03-23,47.700001,2345.959961
2017-03-24,47.970001,2343.97998
2017-03-27,47.73,2341.590088
2017-03-28,48.369999,2358.570068
2017-03-29,49.509998,2361.129883
2017-03-30,50.349998,2368.060059
2017-03-31,50.599998,2362.719971
2017-04-03,50.240002,2358.840088
2017-04-04,51.029999,2360.159912
2017-04-05,51.150002,2352.949951
2017-04-06,51.700001,2357.48999
2017-04-07,52.240002,2355.540039
2017-04-10,53.080002,2357.159912
2017-04-11,53.400002,2353.780029
2017-04-12,53.110001,2344.929932
2017-04-13,53.18,2328.949951
2017-04-17,52.650002,2349.01001
2017-04-18,52.41,2342.189941
2017-04-19,50.439999,2338.169922
2017-04-20,50.27,2355.840088
2017-04-21,49.619999,2348.689941
2017-04-24,49.23,2374.149902
2017-04-25,49.560001,2388.610107
2017-04-26,49.619999,2387.449951
2017-04-27,48.970001,2388.77002
2017-04-28,49.330002,2384.199951
2017-05-01,48.84,2388.330078
2017-05-02,47.66,2391.169922
2017-05-03,47.82,2388.129883
2017-05-04,45.52,2389.52002
2017-05-05,46.220001,2399.290039
2017-05-08,46.43,2399.379883
2017-05-09,45.880001,2396.919922
2017-05-10,47.330002,2399.629883
2017-05-11,47.830002,2394.439941
2017-05-12,47.84,2390.899902
2017-05-15,48.849998,2402.320068
2017-05-16,48.66,2400.669922
2017-05-17,49.07,2357.030029
2017-05-18,49.349998,2365.719971
2017-05-19,50.330002,2381.72998
2017-05-22,50.73,2394.02002
2017-05-23,51.470001,2398.419922
2017-05-24,51.360001,2404.389893
2017-05-25,48.900002,2415.070068
2017-05-26,49.799999,2415.820068
2017-05-30,49.66,2412.909912
2017-05-31,48.32,2411.800049
2017-06-01,48.360001,2430.060059
2017-06-02,47.66,2439.070068
2017-06-05,47.400002,2436.100098
2017-06-06,48.189999,2429.330078
2017-06-07,45.720001,2433.139893
2017-06-08,45.639999,2433.790039
2017-06-09,45.830002,2431.77002
2017-06-12,46.080002,2429.389893
2017-06-13,46.459999,2440.350098
2017-06-14,44.73,2437.919922
2017-06-15,44.459999,2432.459961
2017-06-16,44.740002,2433.149902
2017-06-19,44.200001,2453.459961
2017-06-20,43.23,2437.030029
2017-06-21,42.529999,2435.610107
2017-06-22,42.740002,2434.5
2017-06-23,43.009998,2438.300049
2017-06-26,43.380001,2439.070068
2017-06-27,44.240002,2419.379883
2017-06-28,44.740002,2440.689941
2017-06-29,44.93,2419.699951
2017-06-30,46.040001,2423.409912
2017-07-05,45.130001,2432.540039
2017-07-06,45.52,2409.75
2017-07-07,44.23,2425.179932
2017-07-10,44.400002,2427.429932
2017-07-11,45.040001,2425.530029
2017-07-12,45.490002,2443.25
2017-07-13,46.080002,2447.830078
2017-07-14,46.540001,2459.27002
2017-07-17,46.02,2459.139893
2017-07-18,46.400002,2460.610107
2017-07-19,47.119999,2473.830078
2017-07-20,46.790001,2473.449951
2017-07-21,45.77,2472.540039
2017-07-24,46.34,2469.909912
2017-07-25,47.889999,2477.129883
2017-07-26,48.75,2477.830078
2017-07-27,49.040001,2475.419922
2017-07-28,49.709999,2472.100098
2017-07-31,50.169998,2470.300049
2017-08-01,49.16,2476.350098
2017-08-02,49.59,2477.570068
2017-08-03,49.029999,2472.159912
2017-08-04,49.580002,2476.830078
2017-08-07,49.389999,2480.909912
2017-08-08,49.169998,2474.919922
2017-08-09,49.560001,2474.02002
2017-08-10,48.59,2438.209961
2017-08-11,48.82,2441.320068
2017-08-14,47.59,2465.840088
2017-08-15,47.549999,2464.610107
2017-08-16,46.779999,2468.110107
2017-08-17,47.09,2430.01001
2017-08-18,48.509998,2425.550049
2017-08-21,47.369999,2428.370117
2017-08-22,47.639999,2452.51001
2017-08-23,48.41,2444.040039
2017-08-24,47.43,2438.969971
2017-08-25,47.869999,2443.050049
2017-08-28,46.57,2444.23999
2017-08-29,46.439999,2446.300049
2017-08-30,45.959999,2457.590088
2017-08-31,47.23,2471.649902
2017-09-01,47.290001,2476.550049
2017-09-05,48.66,2457.850098
2017-09-06,49.16,2465.540039
2017-09-07,49.09,2465.100098
2017-09-08,47.48,2461.429932
2017-09-11,48.07,2488.110107
2017-09-12,48.23,2496.47998
2017-09-13,49.299999,2498.370117
2017-09-14,49.889999,2495.620117
2017-09-15,49.889999,2500.22998
2017-09-18,49.91,2503.870117
2017-09-19,49.48,2506.649902
2017-09-20,50.41,2508.23999
2017-09-21,50.549999,2500.600098
2017-09-22,50.66,2502.219971
2017-09-25,52.220001,2496.659912
2017-09-26,51.880001,2496.840088
2017-09-27,52.139999,2507.040039
2017-09-28,51.560001,2510.060059
2017-09-29,51.669998,2519.360107
2017-10-02,50.580002,2529.120117
2017-10-03,50.419998,2534.580078
2017-10-04,49.98,2537.73999
2017-10-05,50.790001,2552.070068
2017-10-06,49.290001,2549.330078
2017-10-09,49.580002,2544.72998
2017-10-10,50.919998,2550.639893
2017-10-11,51.299999,2555.23999
2017-10-12,50.599998,2550.929932
2017-10-13,51.450001,2553.169922
2017-10-16,51.869999,2557.639893
2017-10-17,51.880001,2559.360107
2017-10-18,52.040001,2561.26001
2017-10-19,51.290001,2562.100098
2017-10-20,51.470001,2575.209961
2017-10-23,51.900002,2564.97998
2017-10-24,52.470001,2569.129883
2017-10-25,52.18,2557.149902
2017-10-26,52.639999,2560.399902
2017-10-27,53.900002,2581.070068
2017-10-30,54.150002,2572.830078
2017-10-31,54.380001,2575.26001
2017-11-01,54.299999,2579.360107
2017-11-02,54.540001,2579.850098
2017-11-03,55.639999,2587.840088
2017-11-06,57.349998,2591.129883
2017-11-07,57.200001,2590.639893
2017-11-08,56.810001,2594.379883
2017-11-09,57.169998,2584.620117
2017-11-10,56.740002,2582.300049
2017-11-13,56.759998,2584.840088
2017-11-14,55.700001,2578.870117
2017-11-15,55.330002,2564.620117
2017-11-16,55.139999,2585.639893
2017-11-17,56.549999,2578.850098
2017-11-20,56.09,2582.139893
2017-11-21,56.830002,2599.030029
2017-11-22,58.02,2597.080078
2017-11-27,58.110001,2601.419922
2017-11-28,57.990002,2627.040039
2017-11-29,57.299999,2626.070068
2017-11-30,57.400002,2647.580078
2017-12-01,58.360001,2642.219971
2017-12-04,57.470001,2639.439941
2017-12-05,57.619999,2629.570068
2017-12-06,55.959999,2629.27002
2017-12-07,56.689999,2636.97998
2017-12-08,57.360001,2651.5
2017-12-11,57.990002,2659.98999
2017-12-12,57.139999,2664.110107
2017-12-13,56.599998,2662.850098
2017-12-14,57.040001,2652.01001
2017-12-15,57.299999,2675.810059
2017-12-18,57.16,2690.159912
2017-12-19,57.459999,2681.469971
2017-12-20,58.09,2679.25
2017-12-21,58.360001,2684.570068
2017-12-22,58.470001,2683.340088
2017-12-26,59.970001,2680.5
2017-12-27,59.639999,2682.620117
2017-12-28,59.84,2687.540039
2017-12-29,60.419998,2673.610107
2018-01-02,60.369999,2695.810059
2018-01-03,61.630001,2713.060059
2018-01-04,62.009998,2723.98999
2018-01-05,61.439999,2743.149902
2018-01-08,61.73,2747.709961
2018-01-09,62.959999,2751.290039
2018-01-10,63.57,2748.22998
2018-01-11,63.799999,2767.560059
2018-01-12,64.300003,2786.23999
2018-01-16,63.73,2776.419922
2018-01-17,63.970001,2802.560059
2018-01-18,63.950001,2798.030029
2018-01-19,63.369999,2810.300049
2018-01-22,63.490002,2832.969971
2018-01-23,64.470001,2839.129883
2018-01-24,65.610001,2837.540039
2018-01-25,65.510002,2839.25
2018-01-26,66.139999,2872.870117
2018-01-29,65.559998,2853.530029
2018-01-30,64.5,2822.429932
2018-01-31,64.730003,2823.810059
2018-02-01,65.800003,2821.97998
2018-02-02,65.449997,2762.129883
2018-02-05,64.150002,2648.939941
2018-02-06,63.389999,2695.139893
2018-02-07,61.790001,2681.659912
2018-02-08,61.150002,2581
2018-02-09,59.200001,2619.550049
2018-02-12,59.290001,2656
2018-02-13,59.189999,2662.939941
2018-02-14,60.599998,2698.629883
2018-02-15,61.34,2731.199951
2018-02-16,61.68,2732.219971
2018-02-20,61.900002,2716.26001
2018-02-21,61.68,2701.330078
2018-02-22,62.77,2703.959961
2018-02-23,63.549999,2747.300049
2018-02-26,63.91,2779.600098
2018-02-27,63.009998,2744.280029
2018-02-28,61.639999,2713.830078
2018-03-01,60.990002,2677.669922
2018-03-02,61.25,2691.25
2018-03-05,62.57,2720.939941
2018-03-06,62.599998,2728.120117
2018-03-07,61.150002,2726.800049
2018-03-08,60.119999,2738.969971
2018-03-09,62.040001,2786.570068
2018-03-12,61.360001,2783.02002
2018-03-13,60.709999,2765.310059
2018-03-14,60.959999,2749.47998
2018-03-15,61.189999,2747.330078
2018-03-16,62.34,2752.01001
2018-03-19,62.060001,2712.919922
2018-03-20,63.400002,2716.939941
2018-03-21,65.169998,2711.929932
2018-03-22,64.300003,2643.689941
2018-03-23,65.879997,2588.26001
2018-03-26,65.550003,2658.550049
2018-03-27,65.25,2612.620117
2018-03-28,64.379997,2605
2018-03-29,64.940002,2640.870117
2018-04-02,63.009998,2581.879883
2018-04-03,63.509998,2614.449951
2018-04-04,63.369999,2644.689941
2018-04-05,63.540001,2662.840088
2018-04-06,62.060001,2604.469971
2018-04-09,63.419998,2613.159912
2018-04-10,65.510002,2656.870117
2018-04-11,66.82,2642.189941
2018-04-12,67.07,2663.98999
2018-04-13,67.389999,2656.300049
2018-04-16,66.220001,2677.840088
2018-04-17,66.519997,2706.389893
2018-04-18,68.470001,2708.639893
2018-04-19,68.290001,2693.129883
2018-04-20,68.379997,2670.139893
2018-04-23,68.639999,2670.290039
2018-04-24,67.699997,2634.560059
2018-04-25,68.050003,2639.399902
2018-04-26,68.190002,2666.939941
2018-04-27,68.099998,2669.909912
2018-04-30,68.57,2648.050049
2018-05-01,67.25,2654.800049
2018-05-02,67.93,2635.669922
2018-05-03,68.43,2629.72998
2018-05-04,69.720001,2663.419922
2018-05-07,70.730003,2672.629883
2018-05-08,69.059998,2671.919922
2018-05-09,71.139999,2697.790039
2018-05-10,71.360001,2723.070068
2018-05-11,70.699997,2727.719971
2018-05-14,70.959999,2730.129883
2018-05-15,71.309998,2711.449951
2018-05-16,71.489998,2722.459961
2018-05-17,71.489998,2720.129883
2018-05-18,71.279999,2712.969971
2018-05-21,72.239998,2733.01001
2018-05-22,72.129997,2724.439941
